epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31039,0.98733,10.616,0.34169,0,0,0,0,1.68142,12.8629,0.53479,0.00015003,0.00015003,0.00015003
2,17.277,3.6844,10.8207,1.01063,0,0,0,0,4.3537,8.52062,1.15575,0.000295826,0.000295826,0.000295826
3,25.3575,4.93825,8.20225,1.23154,0,0,0,0,5.04008,6.81038,1.15331,0.000419617,0.000419617,0.000419617
4,33.1082,4.45094,6.33617,1.15004,0,0,0,0,4.60657,6.21631,1.06905,0.000521404,0.000521404,0.000521404
5,41.1381,4.88404,6.78887,1.1426,0.00017,0.025,9e-05,3e-05,4.89665,6.45578,1.17346,0.000601187,0.000601187,0.000601187
6,48.6118,4.75671,7.08581,1.12995,0.0005,0.075,0.0003,8e-05,4.64639,6.25234,1.12131,0.000658965,0.000658965,0.000658965
7,58.9886,4.63192,7.92699,1.08594,0.0005,0.075,0.00031,7e-05,4.64697,6.11319,1.11343,0.000694739,0.000694739,0.000694739
8,68.6332,3.83477,7.46778,0.97044,0.0003,0.05,0.00031,7e-05,4.73706,5.97085,1.09149,0.000708508,0.000708508,0.000708508
9,76.1136,4.05129,6.98319,1.00813,0.00057,0.1,0.00052,0.00013,4.58213,5.795,1.07236,0.000700273,0.000700273,0.000700273
10,83.5943,4.10663,6.52706,1.05974,0.00042,0.075,0.00051,0.00015,4.6823,5.89783,1.08085,0.000670034,0.000670034,0.000670034
11,91.0048,4.26039,6.05912,1.08553,0.00028,0.05,0.00058,0.00024,4.71077,5.90571,1.07612,0.00056678,0.00056678,0.00056678
12,98.2473,4.23167,6.28744,1.07332,0.00028,0.05,0.00042,0.00016,4.7362,5.86461,1.07293,0.000456758,0.000456758,0.000456758
13,105.733,4.27659,6.41009,1.07256,0.00059,0.1,0.00534,0.00067,4.7792,5.84446,1.07478,0.000346736,0.000346736,0.000346736
14,113.767,4.23233,7.08551,1.07137,0.00082,0.125,0.00073,0.00023,4.77168,5.6774,1.06712,0.000236714,0.000236714,0.000236714
15,121.512,4.15271,5.66891,1.04265,0.00082,0.125,0.00081,0.00024,4.73519,5.57554,1.06093,0.000126692,0.000126692,0.000126692
